연번,조사연도,국가,분류,구분,사례수(명),30분미만(비율),30분이상-1시간미만(비율),1시간이상-2시간미만(비율),2시간이상-3시간미만(비율),3시간이상-4시간미만(비율),4시간이상-5시간미만(비율),5시간이상(비율),평균(분),시청콘텐츠,주말구분
350,2020,러시아,연령별,20대,75,20,5.3,24,36,8,1.3,5.3,98,동영상콘텐츠,주중
351,2020,러시아,연령별,30대,65,15.4,9.2,26.2,23.1,6.2,13.8,6.2,114.8,동영상콘텐츠,주중
352,2020,러시아,연령별,40대,64,31.3,6.3,21.9,26.6,4.7,6.3,3.1,85.5,동영상콘텐츠,주중
353,2020,러시아,연령별,50대 이상,113,39.8,10.6,23,10.6,6.2,2.7,7.1,71.9,동영상콘텐츠,주중
354,2020,브라질,연령별,10대,48,4.2,2.1,16.7,22.9,29.2,16.7,8.3,165,동영상콘텐츠,주중
355,2020,브라질,연령별,20대,65,16.9,1.5,13.8,15.4,33.8,6.2,12.3,144.7,동영상콘텐츠,주중
356,2020,브라질,연령별,30대,75,12,0,14.7,25.3,22.7,10.7,14.7,160,동영상콘텐츠,주중
357,2020,브라질,연령별,40대,64,15.6,0,15.6,31.3,20.3,9.4,7.8,136.7,동영상콘텐츠,주중
358,2020,브라질,연령별,50대 이상,116,15.5,0.9,18.1,27.6,18.1,14.7,5.2,134.2,동영상콘텐츠,주중
359,2020,UAE,연령별,10대,45,37.8,0,13.3,24.4,11.1,8.9,4.4,97,동영상콘텐츠,주중
360,2020,UAE,연령별,20대,68,17.6,4.4,19.1,22.1,19.1,10.3,7.4,126.7,동영상콘텐츠,주중
361,2020,UAE,연령별,30대,74,16.2,2.7,27,21.6,9.5,12.2,10.8,128.4,동영상콘텐츠,주중
362,2020,UAE,연령별,40대,65,13.8,6.2,41.5,24.6,4.6,3.1,6.2,97.3,동영상콘텐츠,주중
363,2020,UAE,연령별,50대 이상,103,21.4,6.8,23.3,27.2,12.6,5.8,2.9,99.7,동영상콘텐츠,주중
364,2020,영국,학력별,고졸 이하,149,43,2.7,12.8,11.4,11.4,8.1,10.7,111.7,동영상콘텐츠,주중
365,2020,영국,학력별,대졸 이상,220,32.7,5.9,9.5,16.4,8.2,7.7,19.5,138.8,동영상콘텐츠,주중
366,2020,호주,학력별,고졸 이하,124,37.1,2.4,12.1,19.4,9.7,8.9,10.5,107.2,동영상콘텐츠,주중
367,2020,호주,학력별,대졸 이상,172,39,1.7,23.8,16.3,7.6,5.8,5.8,85.1,동영상콘텐츠,주중
368,2020,러시아,학력별,고졸 이하,103,24.3,6.8,21.4,18.4,9.7,7.8,11.7,115.1,동영상콘텐츠,주중
369,2020,러시아,학력별,대졸 이상,260,26.5,8.1,23.8,24.6,6.2,6.2,4.6,90.8,동영상콘텐츠,주중
370,2020,브라질,학력별,고졸 이하,169,14.8,1.2,14.2,19.5,30.2,14.8,5.3,146.8,동영상콘텐츠,주중
371,2020,브라질,학력별,대졸 이상,198,12.6,0.5,17.7,29.8,18.2,8.6,12.6,144.4,동영상콘텐츠,주중
372,2020,UAE,학력별,고졸 이하,76,30.3,0,23.7,15.8,10.5,11.8,7.9,109.5,동영상콘텐츠,주중
373,2020,UAE,학력별,대졸 이상,274,16.8,5.8,26.3,26.3,12,6.9,5.8,111.1,동영상콘텐츠,주중
374,2020,영국,직업별,전일제근로자,177,27.7,5.6,12.4,17.5,11.3,5.6,19.8,147.3,동영상콘텐츠,주중
375,2020,영국,직업별,자영업자,39,33.3,2.6,12.8,12.8,5.1,15.4,17.9,139.7,동영상콘텐츠,주중
376,2020,영국,직업별,시간제근로자,20,30,5,15,20,10,10,10,120.2,동영상콘텐츠,주중
377,2020,영국,직업별,학생,52,34.6,5.8,7.7,13.5,11.5,13.5,13.5,128.5,동영상콘텐츠,주중
378,2020,영국,직업별,가사노동자,19,52.6,5.3,5.3,10.5,15.8,0,10.5,97,동영상콘텐츠,주중
379,2020,영국,직업별,은퇴자,29,82.8,0,3.4,3.4,6.9,0,3.4,40.5,동영상콘텐츠,주중
380,2020,영국,직업별,무직/구직 중,35,45.7,2.9,14.3,8.6,2.9,11.4,14.3,108.4,동영상콘텐츠,주중
381,2020,호주,직업별,전일제근로자,119,31.1,0.8,23.5,21,8.4,6.7,8.4,103.7,동영상콘텐츠,주중
382,2020,호주,직업별,자영업자,52,34.6,5.8,19.2,25,7.7,1.9,5.8,83.1,동영상콘텐츠,주중
383,2020,호주,직업별,시간제근로자,10,50,0,10,0,10,10,20,120,동영상콘텐츠,주중
384,2020,호주,직업별,학생,45,40,2.2,13.3,13.3,11.1,8.9,11.1,105.6,동영상콘텐츠,주중
385,2020,호주,직업별,가사노동자,18,55.6,5.6,11.1,16.7,0,5.6,5.6,63.9,동영상콘텐츠,주중
386,2020,호주,직업별,은퇴자,24,58.3,0,16.7,8.3,8.3,8.3,0,55.5,동영상콘텐츠,주중
387,2020,호주,직업별,무직/구직 중,30,43.3,0,16.7,13.3,6.7,13.3,6.7,94.2,동영상콘텐츠,주중
388,2020,러시아,직업별,전일제근로자,200,24,8.5,23,27.5,6,6,5,94.4,동영상콘텐츠,주중
389,2020,러시아,직업별,자영업자,15,20,0,20,26.7,6.7,26.7,0,127.3,동영상콘텐츠,주중
390,2020,러시아,직업별,시간제근로자,38,18.4,10.5,28.9,18.4,7.9,7.9,7.9,104.1,동영상콘텐츠,주중
391,2020,러시아,직업별,학생,37,13.5,8.1,27,27,10.8,5.4,8.1,116.4,동영상콘텐츠,주중
392,2020,러시아,직업별,가사노동자,14,42.9,14.3,14.3,0,7.1,7.1,14.3,90,동영상콘텐츠,주중
393,2020,러시아,직업별,은퇴자,33,51.5,3,21.2,3,9.1,0,12.1,75,동영상콘텐츠,주중
394,2020,러시아,직업별,무직/구직 중,22,31.8,4.5,13.6,22.7,9.1,4.5,13.6,114.3,동영상콘텐츠,주중
395,2020,브라질,직업별,전일제근로자,166,12,0.6,15.1,28.9,22.9,11.4,9,148.4,동영상콘텐츠,주중
396,2020,브라질,직업별,자영업자,31,9.7,3.2,19.4,32.3,12.9,9.7,12.9,144.3,동영상콘텐츠,주중
397,2020,브라질,직업별,시간제근로자,62,14.5,0,16.1,22.6,25.8,9.7,11.3,145.9,동영상콘텐츠,주중
398,2020,브라질,직업별,학생,35,17.1,0,20,20,22.9,17.1,2.9,135.7,동영상콘텐츠,주중
399,2020,브라질,직업별,가사노동자,11,27.3,0,18.2,9.1,27.3,9.1,9.1,126.8,동영상콘텐츠,주중
400,2020,브라질,직업별,은퇴자,34,17.6,2.9,14.7,23.5,20.6,14.7,5.9,134,동영상콘텐츠,주중
401,2020,브라질,직업별,무직/구직 중,25,12,0,12,12,40,12,12,162.5,동영상콘텐츠,주중
402,2020,UAE,직업별,전일제근로자,199,15.1,4.5,27.6,24.6,12.6,10.1,5.5,116.3,동영상콘텐츠,주중
403,2020,UAE,직업별,자영업자,34,17.6,11.8,32.4,29.4,2.9,0,5.9,87.9,동영상콘텐츠,주중
404,2020,UAE,직업별,시간제근로자,15,13.3,0,46.7,40,0,0,0,86.1,동영상콘텐츠,주중
405,2020,UAE,직업별,학생,46,41.3,0,13,17.4,8.7,13,6.5,99.9,동영상콘텐츠,주중
406,2020,UAE,직업별,가사노동자,28,21.4,7.1,25,21.4,10.7,7.1,7.1,108.6,동영상콘텐츠,주중
407,2020,UAE,직업별,은퇴자,16,12.5,6.3,12.5,31.3,31.3,0,6.3,127.3,동영상콘텐츠,주중
408,2020,UAE,직업별,무직/구직 중,12,33.3,0,16.7,8.3,16.7,0,25,138,동영상콘텐츠,주중
409,2020,영국,소득별,평균 이하,161,31.7,3.1,13,16.1,10.6,8.7,16.8,142.3,동영상콘텐츠,주중
410,2020,영국,소득별,평균 이상,114,34.2,6.1,8.8,17.5,10.5,4.4,18.4,127.4,동영상콘텐츠,주중
411,2020,호주,소득별,평균 이하,119,37,2.5,15.1,21.8,6.7,6.7,10.1,101.7,동영상콘텐츠,주중
412,2020,호주,소득별,평균 이상,83,34.9,2.4,24.1,19.3,9.6,4.8,4.8,86.4,동영상콘텐츠,주중
413,2020,러시아,소득별,평균 이하,191,26.2,5.8,21.5,25.1,5.2,6.3,9.9,105.1,동영상콘텐츠,주중
414,2020,러시아,소득별,평균 이상,122,23,10.7,28.7,21.3,8.2,6.6,1.6,86.6,동영상콘텐츠,주중
415,2020,브라질,소득별,평균 이하,178,14,0.6,14,25.8,25.3,11.8,8.4,147.3,동영상콘텐츠,주중
416,2020,브라질,소득별,평균 이상,87,8,0,20.7,24.1,20.7,13.8,12.6,158.4,동영상콘텐츠,주중
417,2020,UAE,소득별,평균 이하,165,20,2.4,26.1,21.8,11.5,10.9,7.3,117.6,동영상콘텐츠,주중
418,2020,UAE,소득별,평균 이상,122,11.5,8.2,27,26.2,14.8,6.6,5.7,115.5,동영상콘텐츠,주중
419,2020,영국,국가별,전체,373,39.7,5.4,19,16.6,3.8,4.3,11.3,110.3,동영상콘텐츠,주말
420,2020,호주,국가별,전체,301,30.9,3.3,15,20.6,10,7,13.3,123.2,동영상콘텐츠,주말
421,2020,러시아,국가별,전체,367,22.9,6,17.7,21,17.2,9,6.3,113.9,동영상콘텐츠,주말
422,2020,브라질,국가별,전체,368,13.3,1.4,10.1,16.3,39.9,19,0,151.1,동영상콘텐츠,주말
423,2020,UAE,국가별,전체,355,20.3,3.4,15.2,24.5,17.2,11.5,7.9,129.1,동영상콘텐츠,주말
424,2020,영국,성별,남성,210,36.2,4.3,22.4,16.7,2.4,4.3,13.8,122,동영상콘텐츠,주말
425,2020,영국,성별,여성,163,44.2,6.7,14.7,16.6,5.5,4.3,8,95.3,동영상콘텐츠,주말
426,2020,호주,성별,남성,146,27.4,2.1,15.1,21.9,12.3,5.5,15.8,134.3,동영상콘텐츠,주말
427,2020,호주,성별,여성,155,34.2,4.5,14.8,19.4,7.7,8.4,11,112.8,동영상콘텐츠,주말
428,2020,러시아,성별,남성,185,23.2,7,15.1,24.3,17.8,7,5.4,111,동영상콘텐츠,주말
429,2020,러시아,성별,여성,182,22.5,4.9,20.3,17.6,16.5,11,7.1,116.9,동영상콘텐츠,주말
430,2020,브라질,성별,남성,185,9.2,1.1,11.4,21.6,35.7,21.1,0,154.7,동영상콘텐츠,주말
431,2020,브라질,성별,여성,183,17.5,1.6,8.7,10.9,44.3,16.9,0,147.3,동영상콘텐츠,주말
432,2020,UAE,성별,남성,184,16.3,3.3,16.8,25,17.9,12.5,8.2,135.2,동영상콘텐츠,주말
433,2020,UAE,성별,여성,171,24.6,3.5,13.5,24,16.4,10.5,7.6,122.5,동영상콘텐츠,주말
434,2020,영국,연령별,10대,59,44.1,1.7,15.3,10.2,6.8,6.8,15.3,128.3,동영상콘텐츠,주말
435,2020,영국,연령별,20대,84,34.5,2.4,17.9,21.4,3.6,8.3,11.9,126.6,동영상콘텐츠,주말
436,2020,영국,연령별,30대,72,34.7,8.3,19.4,16.7,4.2,2.8,13.9,105.4,동영상콘텐츠,주말
437,2020,영국,연령별,40대,60,35,6.7,25,18.3,1.7,3.3,10,124.6,동영상콘텐츠,주말
438,2020,영국,연령별,50대 이상,98,48,7.1,18.4,15.3,3.1,1,7.1,80.4,동영상콘텐츠,주말
439,2020,호주,연령별,10대,48,22.9,4.2,16.7,14.6,12.5,6.3,22.9,155,동영상콘텐츠,주말
440,2020,호주,연령별,20대,77,26,0,16.9,23.4,9.1,9.1,15.6,138.3,동영상콘텐츠,주말
441,2020,호주,연령별,30대,59,30.5,1.7,11.9,23.7,10.2,5.1,16.9,132.6,동영상콘텐츠,주말
442,2020,호주,연령별,40대,51,33.3,5.9,15.7,21.6,9.8,5.9,7.8,106.1,동영상콘텐츠,주말
443,2020,호주,연령별,50대 이상,66,40.9,6.1,13.6,18.2,9.1,7.6,4.5,87.3,동영상콘텐츠,주말
444,2020,러시아,연령별,10대,50,14,2,14,20,26,10,14,153.7,동영상콘텐츠,주말
445,2020,러시아,연령별,20대,75,13.3,5.3,17.3,21.3,22.7,16,4,135,동영상콘텐츠,주말
446,2020,러시아,연령별,30대,65,15.4,7.7,20,21.5,20,9.2,6.2,122.2,동영상콘텐츠,주말
447,2020,러시아,연령별,40대,64,25,3.1,21.9,29.7,9.4,6.3,4.7,101,동영상콘텐츠,주말
448,2020,러시아,연령별,50대 이상,113,36.3,8.8,15.9,15.9,12.4,5.3,5.3,84.9,동영상콘텐츠,주말
449,2020,브라질,연령별,10대,48,6.3,2.1,10.4,20.8,43.8,16.7,0,157.1,동영상콘텐츠,주말
450,2020,브라질,연령별,20대,65,18.5,0,13.8,10.8,46.2,10.8,0,135.1,동영상콘텐츠,주말
451,2020,브라질,연령별,30대,75,12,1.3,6.7,17.3,34.7,28,0,165,동영상콘텐츠,주말
452,2020,브라질,연령별,40대,64,12.5,0,9.4,20.3,43.8,14.1,0,149.7,동영상콘텐츠,주말
453,2020,브라질,연령별,50대 이상,116,14.7,2.6,10.3,14.7,36.2,21.6,0,149.2,동영상콘텐츠,주말
454,2020,UAE,연령별,10대,45,46.7,0,13.3,17.8,11.1,4.4,6.7,85.3,동영상콘텐츠,주말
455,2020,UAE,연령별,20대,68,14.7,4.4,11.8,20.6,16.2,20.6,11.8,153.7,동영상콘텐츠,주말
456,2020,UAE,연령별,30대,74,10.8,6.8,13.5,25.7,17.6,18.9,6.8,146.2,동영상콘텐츠,주말
457,2020,UAE,연령별,40대,65,16.9,3.1,18.5,24.6,21.5,6.2,9.2,130.8,동영상콘텐츠,주말
458,2020,UAE,연령별,50대 이상,103,21.4,1.9,17.5,29.1,17.5,6.8,5.8,118.6,동영상콘텐츠,주말
459,2020,영국,학력별,고졸 이하,149,44.3,4,17.4,16.1,3.4,4.7,10.1,109.8,동영상콘텐츠,주말
460,2020,영국,학력별,대졸 이상,220,35.5,6.4,20.5,17.3,4.1,4.1,12.3,112.7,동영상콘텐츠,주말
461,2020,호주,학력별,고졸 이하,124,30.6,4,12.1,18.5,7.3,8.1,19.4,140.7,동영상콘텐츠,주말
462,2020,호주,학력별,대졸 이상,172,31.4,2.9,16.3,22.7,11.6,5.8,9.3,110.9,동영상콘텐츠,주말
463,2020,러시아,학력별,고졸 이하,103,21.4,4.9,18.4,18.4,19.4,10.7,6.8,122.2,동영상콘텐츠,주말
464,2020,러시아,학력별,대졸 이상,260,23.1,6.5,17.7,21.9,16.2,8.5,6.2,111.2,동영상콘텐츠,주말
465,2020,브라질,학력별,고졸 이하,169,16.6,1.2,8.9,14.2,40.2,18.9,0,148.6,동영상콘텐츠,주말
466,2020,브라질,학력별,대졸 이상,198,10.6,1.5,11.1,18.2,39.4,19.2,0,152.9,동영상콘텐츠,주말
467,2020,UAE,학력별,고졸 이하,76,35.5,0,17.1,18.4,13.2,9.2,6.6,101.8,동영상콘텐츠,주말
468,2020,UAE,학력별,대졸 이상,274,16.4,4,15,26.6,17.9,12.4,7.7,135.1,동영상콘텐츠,주말
469,2020,영국,직업별,전일제근로자,177,32.8,6.2,20.3,19.8,1.7,5.1,14.1,127.9,동영상콘텐츠,주말
470,2020,영국,직업별,자영업자,39,35.9,7.7,28.2,12.8,5.1,5.1,5.1,83.9,동영상콘텐츠,주말
471,2020,영국,직업별,시간제근로자,20,30,0,30,30,0,5,5,83.5,동영상콘텐츠,주말
472,2020,영국,직업별,학생,52,48.1,0,13.5,13.5,5.8,5.8,13.5,114.3,동영상콘텐츠,주말
473,2020,영국,직업별,가사노동자,19,57.9,5.3,5.3,10.5,10.5,5.3,5.3,66.5,동영상콘텐츠,주말
474,2020,영국,직업별,은퇴자,29,72.4,6.9,10.3,6.9,0,0,3.4,36.4,동영상콘텐츠,주말
475,2020,영국,직업별,무직/구직 중,35,34.3,8.6,17.1,14.3,11.4,0,14.3,150.1,동영상콘텐츠,주말
476,2020,호주,직업별,전일제근로자,119,26.1,1.7,14.3,24.4,12.6,6.7,14.3,139,동영상콘텐츠,주말
477,2020,호주,직업별,자영업자,52,23.1,7.7,19.2,25,9.6,9.6,5.8,104.3,동영상콘텐츠,주말
478,2020,호주,직업별,시간제근로자,10,40,0,10,10,10,10,20,156.5,동영상콘텐츠,주말
479,2020,호주,직업별,학생,45,31.1,2.2,13.3,15.6,8.9,4.4,24.4,147.8,동영상콘텐츠,주말
480,2020,호주,직업별,가사노동자,18,38.9,11.1,22.2,16.7,0,11.1,0,64.1,동영상콘텐츠,주말
481,2020,호주,직업별,은퇴자,24,54.2,0,12.5,20.8,8.3,0,4.2,63.3,동영상콘텐츠,주말
482,2020,호주,직업별,무직/구직 중,30,40,3.3,10,13.3,10,6.7,16.7,115.1,동영상콘텐츠,주말
483,2020,러시아,직업별,전일제근로자,200,19.5,6.5,18.5,23.5,17,8,7,117.5,동영상콘텐츠,주말
484,2020,러시아,직업별,자영업자,15,20,0,13.3,33.3,26.7,6.7,0,125.7,동영상콘텐츠,주말
485,2020,러시아,직업별,시간제근로자,38,18.4,7.9,23.7,15.8,10.5,13.2,10.5,121.5,동영상콘텐츠,주말
486,2020,러시아,직업별,학생,37,13.5,5.4,16.2,13.5,29.7,13.5,8.1,145.2,동영상콘텐츠,주말
487,2020,러시아,직업별,가사노동자,14,28.6,21.4,7.1,28.6,7.1,7.1,0,77.1,동영상콘텐츠,주말
488,2020,러시아,직업별,은퇴자,33,54.5,3,12.1,15.2,9.1,3,3,59.2,동영상콘텐츠,주말
489,2020,러시아,직업별,무직/구직 중,22,22.7,0,22.7,13.6,18.2,18.2,4.5,122.6,동영상콘텐츠,주말
490,2020,브라질,직업별,전일제근로자,166,10.8,1.8,7.8,20.5,38,21.1,0,157.2,동영상콘텐츠,주말
491,2020,브라질,직업별,자영업자,31,16.1,0,19.4,6.5,48.4,9.7,0,135.6,동영상콘텐츠,주말
492,2020,브라질,직업별,시간제근로자,62,16.1,0,8.1,11.3,41.9,22.6,0,155.8,동영상콘텐츠,주말
493,2020,브라질,직업별,학생,35,14.3,0,14.3,14.3,37.1,20,0,144.4,동영상콘텐츠,주말
494,2020,브라질,직업별,가사노동자,11,27.3,0,9.1,27.3,18.2,18.2,0,121.8,동영상콘텐츠,주말
495,2020,브라질,직업별,은퇴자,34,14.7,2.9,8.8,20.6,35.3,17.6,0,143.9,동영상콘텐츠,주말
496,2020,브라질,직업별,무직/구직 중,25,12,4,12,8,56,8,0,146.1,동영상콘텐츠,주말
497,2020,UAE,직업별,전일제근로자,199,12.6,3.5,14.1,26.1,20.6,14.6,8.5,146,동영상콘텐츠,주말
498,2020,UAE,직업별,자영업자,34,17.6,8.8,23.5,32.4,5.9,5.9,5.9,104.4,동영상콘텐츠,주말
499,2020,UAE,직업별,시간제근로자,15,20,0,26.7,33.3,6.7,6.7,6.7,112,동영상콘텐츠,주말
500,2020,UAE,직업별,학생,46,52.2,0,8.7,8.7,10.9,10.9,8.7,92.3,동영상콘텐츠,주말
501,2020,UAE,직업별,가사노동자,28,25,3.6,7.1,28.6,17.9,7.1,10.7,133.3,동영상콘텐츠,주말
502,2020,UAE,직업별,은퇴자,16,12.5,0,31.3,25,18.8,6.3,6.3,119.6,동영상콘텐츠,주말
503,2020,UAE,직업별,무직/구직 중,12,33.3,0,25,8.3,25,8.3,0,97.3,동영상콘텐츠,주말
504,2020,영국,소득별,평균 이하,161,32.3,3.7,23,17.4,5.6,4.3,13.7,131.6,동영상콘텐츠,주말
505,2020,영국,소득별,평균 이상,114,36.8,7.9,18.4,20.2,1.8,3.5,11.4,106.9,동영상콘텐츠,주말
506,2020,호주,소득별,평균 이하,119,32.8,4.2,12.6,19.3,9.2,5.9,16,127.2,동영상콘텐츠,주말
507,2020,호주,소득별,평균 이상,83,22.9,4.8,18.1,22.9,15.7,4.8,10.8,123.2,동영상콘텐츠,주말
508,2020,러시아,소득별,평균 이하,191,25.7,4.7,16.8,20.4,15.7,8.9,7.9,113.5,동영상콘텐츠,주말
509,2020,러시아,소득별,평균 이상,122,14.8,6.6,23.8,20.5,19.7,9,5.7,121.7,동영상콘텐츠,주말
510,2020,브라질,소득별,평균 이하,178,12.9,1.7,7.9,15.7,44.9,16.9,0,154,동영상콘텐츠,주말
511,2020,브라질,소득별,평균 이상,87,5.7,1.1,13.8,16.1,37.9,25.3,0,165.3,동영상콘텐츠,주말
512,2020,UAE,소득별,평균 이하,165,18.8,1.2,15.2,24.8,19.4,11.5,9.1,136.6,동영상콘텐츠,주말
513,2020,UAE,소득별,평균 이상,122,15.6,6.6,18,26.2,15.6,11.5,6.6,126.8,동영상콘텐츠,주말
